title,company,location,description
Scientist in Electron Microscopy Facility,European Molecular Biology Laboratory,Heidelberg,"These techniques ranging from sample preparation, ultramicrotomy, microscopy and image analysis/interpretation of the data.What else you need to know."
Foreign Language Assistant/ -Correspondent (f/m/x),Deutsches GeoForschungsZentrum - GFZ,Potsdam,Your personal data will be treated in line with Art.Working at the Albert Einstein science park on the Telegrafenberg in Potsdam.Start date: 1st March 2021.
Startup Praktikum (remote),placense,Aachen,Wolltest du schon immer mal in einem Startup arbeiten?Weißt aber noch nicht in welchem Bereich?Oder ob deine Expertise ausreicht?
Produktmanager (m/w/d) Fokus Data Science,Eucon GmbH,Münster,Seit 20 Jahren schaffen wir mit der Eucon-Gruppe datenbasierte Werte in einer digitalen Welt.Wir erzielen messbaren Erfolg in unseren Geschäftsfeldern…
Junior Researcher (PhD student) in Economics and Global Health (75% of FTE),Institut für Weltwirtschaft,Kiel,"Closely related field (e.g. health science) with a strong focus on quantitative methods,.As well as experience with the analysis of large health data sets are…"
Werkstudent* – Statistische Auswertung von Wetterdaten,IAV GmbH,Gifhorn,"Die Verbreitung von Drohnen im privaten aber auch industriellen Umfeld wächst stetig.So werden Drohnen z.B. im Bereich für Inspektions-, Überwachungs-, oder…"
Business / Data Analyst Tableau (m/w/d),MUNICH Digital Institute,München,Wir suchen zum nächstmöglichen Zeitpunkt einen Business / Data Analyst (m/w/d) zur weiteren Stärkung unseres Intelligence Bereichs und als Unterstützung für…
Internship - Clinical Research Associate,Covance,München,"Working towards an University/University of Applied Sciences degree (life science preferred).LabCorp’s 65,000+ employees are pursuing critical advances in…"
Digital Trainee@Deutsche Bahn (w/m/d),Deutsche Bahn,Düsseldorf,Mit dem Traineeprogramm Digitalisierung lernst Du verschiedene Digitalisierungsprojekte der Deutschen Bahn kennen.Wir suchen Dich zum 01.
Praktikum im Bereich CustomBiotech EMEA/LATAM,Roche,Mannheim,"Es ist Deine Leidenschaft Daten zu analysieren, zu strukturieren und neue Prozesse zu etablieren?Du arbeitest gerne eigenverantwortlich und projektbezogen?"
Entwicklungsingenieur ADAS Fahrerzustandserkennung (m/w/d),Expleo Germany GmbH,Wolfsburg,Wachsen Sie an technischen Herausforderungen.Gehen Sie Ihren nächsten Karriereschritt als.Entwicklungsingenieur ADAS Fahrerzustandserkennung (m/w/d).
R&D Internship in Cheese & Dairy Department (m/f/d),Mondelēz International,München,"Run small scale simulation trials, a rrange analytical measurement applying advanced data processing.Dedicated interest and skills in process engineering,…"
Specialist Manager - Data & AI,Microsoft,Deutschland,"The Azure Data & AI Specialist Manager leads, develops and manages a team of high performing Azure Data & AI Specialists to drive solution opportunity revenue…"
"Wiss. Mitarbeiter (m/w/d) 3 Jahre 31,864 Std. / Woche",Ruhr Universität Bochum,Bochum,The project has the goal to develop a system for transparent and structured data analysis with methods from machine learning.Dr. Tobias Glasmachers und Prof.
Senior Machine Learning Research Scientist (m/f/d),neurocat GmbH,Berlin,"Strong background in optimization theory, statistics and data analysis.Our office is located directly in the heart of the science park Berlin Adlershof, a…"
"Research Assistant (f/m/d), E13",Carl von Ossietzky Universität Oldenburg,Oldenburg,"Processing large amounts of data by combining lidar measurements, meteorological information and operational wind farm data.Research Assistant (f/m/d)."
Visa Support Assistant (Korean Visa Application Centre),International Organization for Migration,Berlin,"Management software, ensure quality check of collected data and generated invoices;Input visa application data: maintain and expert user level with IOM’s VAPS…"
